0-クイズ番号,1-問題文,2-正解の選択肢,3-回答１,4-回答２,5-ジャンル,6-解説テキスト
1,労働基準法は家族経営や個人事業主にも適用される。○か×か？,2,○,×,基本問題(１）,労働基準法は原則全ての被雇用者に適用されます。しかし例外として家族経営、個人事業主の場合は適用されません。
2,管理監督者の役職にあたる飲食店の店長や銀行の支店長などには割増賃金や通常の休日の規定は適用されない。○か×か？,2,○,×,基本問題(２）,仮に店長という役職名を与えられていても、給料が一般の非管理職とほぼ同じであったり、事業主と同程度の裁量や決定権を与えられていないいわゆる「名ばかり管理職」には労働基準法の規定が適用されます。
3,労働契約の際に提示された条件と実際の仕事内容が異なる場合、労働者は1週間以内に労働契約を解除することができる。○か×か？,1,○,×,労働条件の明示（１）,労働契約時に提示された条件と実際の仕事内容、雇用条件が異なる場合、労働者は即時に労働契約を解除することができます（労基法15条）。
4,就業のために引っ越しした労働者が、就業後に提示された労働条件と実態との相違を理由に労働契約を解除して帰郷する場合、帰郷に必要な旅費を会社に請求できる？,1,できる,できない,労働条件の明示（２）,労基法15条３項により、会社側の責で労働契約の解除が生じた場合、使用者は労働者が帰郷するために必要な旅費負担しなければならないと定められています。
5,派遣業は中間搾取の禁止に反しているので違法である。○か×か？,2,○,×,中間搾取の禁止,労使関係のない第三者が労働に介入することは中間搾取として禁じられています。派遣業は労働者と派遣会社が労使関係を結んでいるため中間搾取に該当しませんが、派遣先から別の会社に派遣する所謂「多重派遣」は労働基準法6条の中間搾取の禁止に反しているため違法です。
6,36協定を結ぶことで延長できる勤務時間の上限はひと月あたり何時間か？,1,45時間,65時間,36協定（１）,労基法36条に基づき使用者と労働組合が書面による協定により労働時間を延長する通称「36協定」では、労働者の法定時間外労働を月あたり45時間まで延長することができます。45時間を超える延長は別途の手続きが義務付けられています。
7,36協定を結べば割増賃金は払われなくなる。○か×か？,2,○,×,36協定（２）,労基法36条基づく協定を結んでも、法定時間の40時間を超えた労働時間に関しては割増賃金が適用されます。
8,1週間あたりの勤務時間が40時間以内であれば、特定の日の勤務時間が法定労働時間の8時間を超えても問題はない。○か×か？,1,○,×,労働時間（１）,労働基準法32条の２より、1週間当たりの労働時間が40時間以内であれば特定の1日の労働時間が8時間を超えても良いと定められています（変形労働時間制）。
9,労働基準法第32条では、使用者は労働者に一日何時間以上労働させてはならないと定めているか？,1,8時間,11時間,労働時間（２）,労働基準法第32条で「使用者は、一週間の各日については、労働者に、休憩時間を除き一日について八時間を超えて、労働させてはならない」と定めています。
10,業務上必要な着替えや掃除は労働時間から除外することができる。○か×か？,2,○,×,労働時間（３）,制服の着替えや掃除など、業務上必要な雑務は使用者による指示の下で行われるものと判断され、従って労働時間に含まれ賃金が発生します。
